DateTime,Status,Filename

08-07-2024 11:40:19,Exporting Files Started  ,

08-07-2024 11:41:17,Record Saved Successfully in eZFileupload table ,C:\imaging\07082024093803491.pdf

08-07-2024 11:41:17,item id : 1,C:\imaging\07082024093803491.pdf

08-07-2024 11:42:27,Check Mandatory Fields : ,C:\imaging\07082024094946083.pdf

08-07-2024 11:43:00,Check Mandatory Fields : ,C:\imaging\07082024095140163.pdf

08-07-2024 11:43:00,Exporting Files Completed.,

08-07-2024 11:43:00,Number of Files Exported : 1 Out Of 3,
