DateTime,Status,Filename

10-28-2021 05:59:02,Exporting Files Started  ,

10-28-2021 05:59:02,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040345633-M0-S1.tif

10-28-2021 05:59:03,Record Saved Successfully in eZFileupload table ,C:\imaging\ARASU-PC09182021040345633-M0-S2.tif

10-28-2021 05:59:03,item id : 1,C:\imaging\ARASU-PC09182021040345633-M0-S2.tif

10-28-2021 05:59:03,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040345633-M0-S3.tif

10-28-2021 05:59:03,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040345633-M0-S4.tif

10-28-2021 05:59:03,Check Mandatory Fields : ,C:\imaging\89155121.pdf

10-28-2021 05:59:03,Exporting Files Completed.,

10-28-2021 05:59:03,Number of Files Exported : 1 Out Of 5,
