DateTime,Status,Filename

09-18-2021 05:20:47,Exporting Files Started  ,

09-18-2021 05:20:47,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S1.tif

09-18-2021 05:20:47,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S2.tif

09-18-2021 05:21:21,Record Saved Successfully in eZFileupload table ,C:\imaging\ARASU-PC09182021040000591-M0-S3#C4#01.TIF

09-18-2021 05:21:21,item id : 1,C:\imaging\ARASU-PC09182021040000591-M0-S3#C4#01.TIF

09-18-2021 05:21:21,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S3.tif

09-18-2021 05:21:21,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S4.tif

09-18-2021 05:21:21,Exporting Files Completed.,

09-18-2021 05:21:21,Number of Files Exported : 1 Out Of 5,
