DateTime,Status,Filename

01-13-2020 04:49:45,Exporting Files Started  ,

01-13-2020 04:49:45,Check Mandatory Fields : ,C:\imaging\Asiri With Barcode BW - Copy (2).tif

01-13-2020 04:49:47,File Exported Successfully  ,C:\imaging\20200102024626.pdf

01-13-2020 04:49:47,Error From ExportOther Files : System.IO.FileNotFoundException: No files found matching 'C:\imaging\20200102024626.pdf'.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportOtherFiles(String filenames) in E:\Working\Customers\Invita\Implementation\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1741,20200102024626.pdf

01-13-2020 04:49:47,Exporting Files Completed.,

01-13-2020 04:49:47,Number of Files Exported : 0 Out Of 2,
