DateTime,Status,Filename

08-07-2024 01:20:56,Exporting Files Started  ,

08-07-2024 01:20:57,Record Saved Successfully in eZFileupload table ,C:\imaging\07082024100756476.pdf

08-07-2024 01:20:57,item id : 1,C:\imaging\07082024100756476.pdf

08-07-2024 01:20:58,Record Saved Successfully in eZFileupload table ,C:\imaging\07082024100821053.pdf

08-07-2024 01:20:58,item id : 1,C:\imaging\07082024100821053.pdf

08-07-2024 01:20:58,Exporting Files Completed.,

08-07-2024 01:20:58,Number of Files Exported : 2 Out Of 2,
