DateTime,Status,Filename

10-29-2019 05:50:50,Exporting Files Started  ,

10-29-2019 05:50:51,Record Saved Successfully in eZFileupload table ,C:\imaging\29102019053115.tif

10-29-2019 05:50:51,item id : 1,C:\imaging\29102019053115.tif

10-29-2019 05:50:52,Record Saved Successfully in eZFileupload table ,C:\imaging\29102019053613.tif

10-29-2019 05:50:52,item id : 1,C:\imaging\29102019053613.tif

10-29-2019 05:50:53,Error From ExportPdf  System.IO.IOException: The file 'E:\Working\Customers\Invita\Implementation\From Vinsi\Watch\9\29102019055052.tif' already exists.
   at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   at System.IO.File.InternalCopy(String sourceFileName, String destFileName, Boolean overwrite, Boolean checkHost)
   at System.IO.File.Copy(String sourceFileName, String destFileName)
   at ezofis.UserControl.ECMRightPane.ExportToEngine(String filenames) in E:\Working\Customers\Invita\Implementation\From Vinsi\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1362,C:\imaging\29102019053614.tif

10-29-2019 05:50:53,Exporting Files Completed.,

10-29-2019 05:50:53,Number of Files Exported : 2 Out Of 3,
