DateTime,Status,Filename

08-07-2024 12:01:37,Exporting Files Started  ,

08-07-2024 12:01:46,Record Saved Successfully in eZFileupload table ,C:\imaging\07082024095146456.pdf

08-07-2024 12:01:46,item id : 1,C:\imaging\07082024095146456.pdf

08-07-2024 12:01:46,Error From ExportPdf  System.IO.FileNotFoundException: No files found matching 'C:\imaging\07082024095146456.pdf'.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportToEngine(String filenames) in F:\ECM Capture\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1917,C:\imaging\07082024095146456.pdf

08-07-2024 12:01:47,Check Mandatory Fields : ,C:\imaging\07082024100306025.pdf

08-07-2024 12:01:47,Exporting Files Completed.,

08-07-2024 12:01:47,Number of Files Exported : 0 Out Of 2,
