DateTime,Status,Filename

08-06-2024 08:04:23,Exporting Files Started  ,

08-06-2024 08:04:24,Check Mandatory Fields : ,C:\imaging\DCMS4 -2023-03-14 (2).tif

08-06-2024 08:04:29,Check Mandatory Fields : ,C:\imaging\dssds.pdf

08-06-2024 08:04:41,Record Saved Successfully in eZFileupload table ,C:\imaging\Gray Red Minimalist Furniture Invoice_1.pdf

08-06-2024 08:04:41,item id : 1,C:\imaging\Gray Red Minimalist Furniture Invoice_1.pdf

08-06-2024 08:04:48,Record Saved Successfully in eZFileupload table ,C:\imaging\sample (2) - Copy.pdf

08-06-2024 08:04:48,item id : 1,C:\imaging\sample (2) - Copy.pdf

08-06-2024 08:04:48,Error From ExportPdf  System.IO.IOException: The process cannot access the file 'C:\imaging\sample (2) - Copy.pdf' because it is being used by another process.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportToEngine(String filenames) in D:\New folder (4)\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1917,C:\imaging\sample (2) - Copy.pdf

08-06-2024 08:05:26,Check Mandatory Fields : ,C:\imaging\sample (2) - Copy.pdf

08-06-2024 08:05:26,Exporting Files Completed.,

08-06-2024 08:05:26,Number of Files Exported : 1 Out Of 4,
