DateTime,Status,Filename

08-06-2024 09:14:18,Exporting Files Started  ,

08-06-2024 09:15:37,Record Saved Successfully in eZFileupload table ,C:\imaging\DISTRICT SWIMMING_MEET_2024.pdf

08-06-2024 09:15:40,item id : 1,C:\imaging\DISTRICT SWIMMING_MEET_2024.pdf

08-06-2024 09:15:42,Error From ExportPdf  System.IO.IOException: The process cannot access the file 'C:\imaging\DISTRICT SWIMMING_MEET_2024.pdf' because it is being used by another process.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportToEngine(String filenames) in F:\ECM Capture\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1917,C:\imaging\DISTRICT SWIMMING_MEET_2024.pdf

08-06-2024 09:16:50,Check Mandatory Fields : ,C:\imaging\ENTRY FORM -District Meet - 2024.pdf

08-06-2024 09:16:53,Exporting Files Completed.,

08-06-2024 09:16:54,Number of Files Exported : 0 Out Of 2,
