DateTime,Status,Filename

11-09-2020 05:00:19,Exporting Files Started  ,

11-09-2020 05:00:20,Record Saved Successfully in eZFileupload table ,C:\imaging\08112020083206395 - Copy (2).tif

11-09-2020 05:00:20,item id : 1,C:\imaging\08112020083206395 - Copy (2).tif

11-09-2020 05:00:21,Record Saved Successfully in eZFileupload table ,C:\imaging\08112020083206395 - Copy.tif

11-09-2020 05:00:21,item id : 1,C:\imaging\08112020083206395 - Copy.tif

11-09-2020 05:00:22,Record Saved Successfully in eZFileupload table ,C:\imaging\08112020083206395.tif

11-09-2020 05:00:22,item id : 1,C:\imaging\08112020083206395.tif

11-09-2020 05:00:22,Exporting Files Completed.,

11-09-2020 05:00:22,Number of Files Exported : 3 Out Of 3,
