DateTime,Status,Filename

01-14-2020 12:46:35,Exporting Files Started  ,

01-14-2020 12:46:36,Check Mandatory Fields : ,C:\imaging\Asiri With Barcode BW - Copy (2).tif

01-14-2020 12:46:37,Record Saved Successfully in eZFileupload table ,C:\imaging\IMG_20191016_0001.pdf

01-14-2020 12:46:37,item id : 1,C:\imaging\IMG_20191016_0001.pdf

01-14-2020 12:46:37,Check Mandatory Fields : ,C:\imaging\IMG_20191016_0002.pdf

01-14-2020 12:46:38,Check Mandatory Fields : ,C:\imaging\IMG_20191030_0001.pdf

01-14-2020 12:46:38,Exporting Files Completed.,

01-14-2020 12:46:38,Number of Files Exported : 1 Out Of 4,
