DateTime,Status,Filename

09-18-2021 05:15:06,Exporting Files Started  ,

09-18-2021 05:15:07,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S1.tif

09-18-2021 05:15:07,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S2.tif

09-18-2021 05:15:07,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S3#C4#01.TIF

09-18-2021 05:15:34,Record Saved Successfully in eZFileupload table ,C:\imaging\ARASU-PC09182021040000591-M0-S3#C4#03.TIF

09-18-2021 05:15:34,item id : 1,C:\imaging\ARASU-PC09182021040000591-M0-S3#C4#03.TIF

09-18-2021 05:15:34,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S3.tif

09-18-2021 05:15:34,Check Mandatory Fields : ,C:\imaging\ARASU-PC09182021040000591-M0-S4.tif

09-18-2021 05:15:34,Exporting Files Completed.,

09-18-2021 05:15:34,Number of Files Exported : 1 Out Of 6,
