DateTime,Status,Filename

08-06-2024 06:02:12,Exporting Files Started  ,

08-06-2024 06:02:13,Check Mandatory Fields : ,C:\imaging\DCMS4 -2023-03-14 (2).tif

08-06-2024 06:02:18,Record Saved Successfully in eZFileupload table ,C:\imaging\dssds.pdf

08-06-2024 06:02:18,item id : 1,C:\imaging\dssds.pdf

08-06-2024 06:02:35,Record Saved Successfully in eZFileupload table ,C:\imaging\sample (1) - Copy.pdf

08-06-2024 06:02:36,item id : 1,C:\imaging\sample (1) - Copy.pdf

08-06-2024 06:02:57,Record Saved Successfully in eZFileupload table ,C:\imaging\sample (1).pdf

08-06-2024 06:02:57,item id : 1,C:\imaging\sample (1).pdf

08-06-2024 06:02:58,Error From ExportPdf  System.IO.IOException: The process cannot access the file 'C:\imaging\sample (1).pdf' because it is being used by another process.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportToEngine(String filenames) in D:\New folder (4)\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1917,C:\imaging\sample (1).pdf

08-06-2024 06:03:00,Check Mandatory Fields : ,C:\imaging\sample (2) - Copy.pdf

08-06-2024 06:03:00,Exporting Files Completed.,

08-06-2024 06:03:00,Number of Files Exported : 2 Out Of 5,
