DateTime,Status,Filename

08-07-2024 10:03:04,Exporting Files Started  ,

08-07-2024 10:03:06,Record Saved Successfully in eZFileupload table ,C:\imaging\07082024100132390.pdf

08-07-2024 10:03:06,item id : 1,C:\imaging\07082024100132390.pdf

08-07-2024 10:03:21,Error From ExportPdf  System.IO.IOException: The process cannot access the file 'C:\imaging\07082024100132390.pdf' because it is being used by another process.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportToEngine(String filenames) in F:\ECM Capture\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1917,C:\imaging\07082024100132390.pdf

08-07-2024 10:03:22,Record Saved Successfully in eZFileupload table ,C:\imaging\07082024100143009.pdf

08-07-2024 10:03:22,item id : 1,C:\imaging\07082024100143009.pdf

08-07-2024 10:03:23,Exporting Files Completed.,

08-07-2024 10:03:23,Number of Files Exported : 1 Out Of 2,
