DateTime,Status,Filename

08-07-2024 10:01:30,Exporting Files Started  ,

08-07-2024 10:01:32,Record Saved Successfully in eZFileupload table ,C:\imaging\DISTRICT SWIMMING_MEET_2024.pdf

08-07-2024 10:01:32,item id : 1,C:\imaging\DISTRICT SWIMMING_MEET_2024.pdf

08-07-2024 10:01:43,Record Saved Successfully in eZFileupload table ,C:\imaging\ENTRY FORM -District Meet - 2024.pdf

08-07-2024 10:01:43,item id : 1,C:\imaging\ENTRY FORM -District Meet - 2024.pdf

08-07-2024 10:01:47,Exporting Files Completed.,

08-07-2024 10:01:47,Number of Files Exported : 2 Out Of 2,
