DateTime,Status,Filename

08-06-2024 11:10:14,Exporting Files Started  ,

08-06-2024 11:10:30,Check Mandatory Fields : ,C:\imaging\DCMS4 -2023-03-14 (2).tif

08-06-2024 11:11:33,Record Saved Successfully in eZFileupload table ,C:\imaging\file_example_TIFF_1MB.tiff

08-06-2024 11:11:34,item id : 1,C:\imaging\file_example_TIFF_1MB.tiff

08-06-2024 11:11:59,Check Mandatory Fields : ,C:\imaging\blankpage_A.pdf

08-06-2024 11:12:05,Check Mandatory Fields : ,C:\imaging\Green and White Minimalist Product Design Service Invoice_1.pdf

08-06-2024 11:12:40,Record Saved Successfully in eZFileupload table ,C:\imaging\manualfile.pdf

08-06-2024 11:13:43,item id : 1,C:\imaging\manualfile.pdf
